regiao;UF;cidade;sexo;faixaEtaria;dataFinalizacao;tempoResposta;nomeFantasia;segmento;area;assunto;grupoProblema;Problema;comoComprContratou;procurouEmpresa;respondida;situacao;avaliacao;Nota do Consumidor
CO;GO;Caldas Novas;M;entre 31 a 40 anos;23/03/2023;;Banco BV (antigo Banco Votorantim);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Atendimento Bancário;Vício de Qualidade;Dificuldade de contato ou acesso aos serviços - caixa eletrônico, agência, internet banking;Não comprei / contratei;S;N;Finalizada avaliada;Não Resolvida;2
SE;RJ;Rio de Janeiro;M;entre 61 a 70 anos;01/03/2023;10;Banco Pan ;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;
NE;PE;Jaboatão dos Guararapes;M;entre 21 a 30 anos;02/03/2023;;Uber;Empresas de Intermediação de Serviços / Negócios;Demais Serviços ;Aplicativo de mobilidade urbana;Vício de Qualidade;Bloqueio / Suspensão indevida do serviço;Telefone;S;N;Finalizada não avaliada;Não Avaliada;
NE;PE;Custódia;F;entre 31 a 40 anos;03/03/2023;10;Banco Pan ;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Atendimento Bancário;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Santa Fé do Sul;M;entre 51 a 60 anos;04/03/2023;;Pernambucanas Cartões;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Loja física;S;N;Finalizada não avaliada;Não Avaliada;
NE;PE;Paulista;F;entre 31 a 40 anos;01/03/2023;10;Santander Financiamentos (Aymoré);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
N ;RO;Porto Velho;M;entre 31 a 40 anos;03/03/2023;10;Cartões Itaú;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Internet;S;S;Finalizada não avaliada;Não Avaliada;
S ;SC;Itapoá;F;entre 61 a 70 anos;03/03/2023;10;Banco C6 Consignado (Banco Ficsa);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;Belford Roxo;M;entre 51 a 60 anos;01/03/2023;;Uber;Empresas de Intermediação de Serviços / Negócios;Demais Serviços ;Aplicativo de mobilidade urbana;Atendimento / SAC;Dificuldade de contato / demora no atendimento;Telefone;S;N;Finalizada não avaliada;Não Avaliada;
SE;RJ;Rio de Janeiro;M;entre 61 a 70 anos;02/03/2023;10;Banco Santander;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Loja física;S;S;Finalizada não avaliada;Não Avaliada;
